"major_topic","title"
1,"General Domestic Macroeconomic Issues"
2,"General Civil Rights, Minority Issues, and Civil Liberties"
3,"General Health"
4,"General Agriculture"
5,"General Labor and Employment"
6,"General Education"
7,"General Environment"
8,"General Energy"
9,"General Immigration and Refugee Issues"
10,"General Transportation"
12,"General Law, Crime, and Family Issues"
13,"General Social Welfare"
14,"General Community Development and Housing Issues"
15,"General Banking, Finance, and Domestic Commerce"
16,"General Defense"
17,"General Space, Science, Technology, and Communications"
18,"General Foreign Trade"
19,"General International Affairs and Foreign Aid"
20,"General Government Operations"
21,"General Public Lands, Water Management, and Territorial Issues"
23,"General Cultural Policy Issues"
