"congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2"
116,"House",20301,41,3,"AL",200,NA,NA,"ROGERS, Mike Dennis","R000575",1958,NA,0.338,0.449,-0.34441,0.98777,28,0,NA,0.408,0.913
116,"House",21102,41,7,"AL",100,NA,NA,"SEWELL, Terri","S001185",1965,NA,-0.39,0.403,-0.37477,0.98622,27,0,NA,-0.565,-0.11
116,"House",21192,41,2,"AL",200,NA,NA,"ROBY, Martha","R000591",1976,NA,0.367,0.661,-2.31191,0.92075,28,1,NA,0.5,-0.116
116,"House",21193,41,5,"AL",200,NA,NA,"BROOKS, Mo","B001274",1954,NA,0.607,-0.44,-2.39953,0.91496,27,2,NA,0.686,-0.728
116,"House",21376,41,1,"AL",200,NA,NA,"BYRNE, Bradley","B001289",1955,NA,0.543,0.322,-0.2955,0.9895,28,0,NA,0.408,0.913
116,"House",21500,41,6,"AL",200,NA,NA,"PALMER, Gary James","P000609",1954,NA,0.773,-0.08,-1.90144,0.93435,28,1,NA,0.408,0.913
116,"House",29701,41,4,"AL",200,NA,NA,"ADERHOLT, Robert","A000055",1965,NA,0.362,0.589,-0.18487,0.99342,28,0,NA,0.408,0.913
116,"House",14066,81,1,"AK",200,NA,NA,"YOUNG, Donald Edwin","Y000033",1933,NA,0.28,0.014,-3.6199,0.87453,27,0,NA,0.427,0.904
116,"House",20305,61,3,"AZ",100,NA,NA,"GRIJALVA, Raúl M.","G000551",1948,NA,-0.599,-0.245,-0.05931,0.99788,28,0,NA,-0.565,-0.11
116,"House",20902,61,2,"AZ",100,NA,NA,"KIRKPATRICK, Ann","K000368",1950,NA,-0.158,-0.011,-0.835,0.96955,27,0,NA,-0.456,0.26
116,"House",21103,61,4,"AZ",200,NA,NA,"GOSAR, Paul","G000565",1958,NA,0.63,-0.368,-3.02375,0.89764,28,2,NA,0.693,-0.721
116,"House",21105,61,6,"AZ",200,NA,NA,"SCHWEIKERT, David","S001183",1962,NA,0.632,-0.324,-1.78707,0.93817,28,1,NA,0.5,-0.116
116,"House",21502,61,7,"AZ",100,NA,NA,"GALLEGO, Ruben","G000574",1979,NA,-0.452,-0.024,-0.07728,0.99724,28,0,NA,-0.565,-0.11
116,"House",21705,61,5,"AZ",200,NA,NA,"BIGGS, Andrew S.","B001302",1958,NA,0.904,-0.427,-0.81581,0.97024,27,0,NA,0.992,-0.13
116,"House",21739,61,1,"AZ",100,NA,NA,"O'HALLERAN, Thomas C.","O000171",1946,NA,-0.169,0.13,-0.74711,0.97271,27,0,NA,-0.456,0.26
116,"House",21757,61,8,"AZ",200,NA,NA,"LESKO, Debbie","L000589",1958,NA,0.698,-0.064,-1.89412,0.93459,28,1,NA,0.5,-0.116
116,"House",21968,61,9,"AZ",100,NA,NA,"STANTON, Greg","S001211",1970,NA,-0.565,-0.11,-0.04949,0.99823,28,0,NA,-0.565,-0.11
116,"House",21106,42,1,"AR",200,NA,NA,"CRAWFORD, Rick","C001087",1966,NA,0.381,0.464,-0.22365,0.99204,28,0,NA,0.408,0.913
116,"House",21108,42,3,"AR",200,NA,NA,"WOMACK, Steve","W000809",1957,NA,0.347,0.567,-0.22054,0.99215,28,0,NA,0.408,0.913
116,"House",21503,42,2,"AR",200,NA,NA,"HILL, French","H001072",1956,NA,0.475,0.188,-0.32744,0.98837,28,0,NA,0.408,0.913
116,"House",21563,42,4,"AR",200,NA,NA,"WESTERMAN, Bruce Eugene","W000821",1967,NA,0.546,0.299,-0.3093,0.98901,28,0,NA,0.408,0.913
116,"House",15448,71,12,"CA",100,NA,NA,"PELOSI, Nancy","P000197",1940,NA,-0.49,-0.206,-3e-05,0.99998,2,0,NA,0,0
116,"House",20104,71,28,"CA",100,NA,NA,"SCHIFF, Adam","S001150",1960,NA,-0.348,-0.13,-0.12511,0.99554,28,0,NA,-0.565,-0.11
116,"House",20108,71,53,"CA",100,NA,NA,"DAVIS, Susan A.","D000598",1944,NA,-0.343,-0.107,-0.13432,0.99521,28,0,NA,-0.565,-0.11
116,"House",20307,71,22,"CA",200,NA,NA,"NUNES, Devin","N000181",1973,NA,0.447,0.199,-0.06026,0.99777,27,0,NA,0.44,0.599
116,"House",20310,71,38,"CA",100,NA,NA,"SÁNCHEZ, Linda T.","S001156",1969,NA,-0.508,-0.14,-0.05275,0.99812,28,0,NA,-0.565,-0.11
116,"House",20501,71,16,"CA",100,NA,NA,"COSTA, Jim","C001059",1952,NA,-0.188,0.469,-1.69844,0.94114,28,0,NA,-0.43,0.903
116,"House",20538,71,6,"CA",100,NA,NA,"MATSUI, Doris","M001163",1944,NA,-0.435,-0.173,-0.06771,0.9974,26,0,NA,-0.565,-0.11
116,"House",20702,71,9,"CA",100,NA,NA,"McNERNEY, Jerry","M001166",1951,NA,-0.26,-0.146,-0.30116,0.9893,28,0,NA,-0.565,-0.11
116,"House",20703,71,23,"CA",200,NA,NA,"MCCARTHY, Kevin","M001165",1965,NA,0.462,0.199,-0.32184,0.98857,28,0,NA,0.408,0.913
116,"House",20762,71,14,"CA",100,NA,NA,"SPEIER, Karen Lorraine Jacqueline (Jackie)","S001175",1950,NA,-0.384,-0.459,-0.10866,0.99613,28,0,NA,-0.565,-0.11
116,"House",20903,71,4,"CA",200,NA,NA,"McCLINTOCK, Tom","M001177",1956,NA,0.751,-0.52,-3.56902,0.88032,28,2,NA,0.5,-0.116
116,"House",20955,71,27,"CA",100,NA,NA,"CHU, Judy","C001080",1953,NA,-0.488,-0.376,-0.06789,0.99758,28,0,NA,-0.565,-0.11
116,"House",20958,71,3,"CA",100,NA,NA,"GARAMENDI, John","G000559",1945,NA,-0.309,-0.097,-0.18376,0.99322,27,0,NA,-0.565,-0.11
116,"House",20963,71,50,"CA",200,NA,NA,"HUNTER, Duncan Duane","H001048",1976,NA,0.515,0.133,-4.53446,0.85049,28,1,NA,0.86,0.51
116,"House",21110,71,37,"CA",100,NA,NA,"BASS, Karen","B001270",1953,NA,-0.586,-0.094,-0.04993,0.99815,27,0,NA,-0.565,-0.11
116,"House",21302,71,1,"CA",200,NA,NA,"LaMALFA, Doug","L000578",1960,NA,0.551,0.096,-0.08378,0.99665,25,0,NA,0.444,0.581
116,"House",21303,71,2,"CA",100,NA,NA,"HUFFMAN, Jared","H001068",1964,NA,-0.425,-0.539,-4.62376,0.84261,27,1,NA,-0.162,0.033
116,"House",21304,71,7,"CA",100,NA,NA,"BERA, Ami","B001287",1965,NA,-0.228,0.006,-0.48577,0.9828,28,0,NA,-0.565,-0.11
116,"House",21305,71,8,"CA",200,NA,NA,"COOK, Paul","C001094",1943,NA,0.39,0.177,-0.47297,0.98325,28,0,NA,0.408,0.913
116,"House",21306,71,15,"CA",100,NA,NA,"SWALWELL, Eric","S001193",1980,NA,-0.364,-0.116,-0.11258,0.99599,28,0,NA,-0.565,-0.11
116,"House",21308,71,26,"CA",100,NA,NA,"BROWNLEY, Julia","B001285",1952,NA,-0.284,0.051,-1.7174,0.94051,28,1,NA,-0.43,0.903
116,"House",21309,71,29,"CA",100,NA,NA,"CÁRDENAS, Tony","C001097",1963,NA,-0.38,0.024,-0.13357,0.99507,27,0,NA,-0.565,-0.11
116,"House",21311,71,36,"CA",100,NA,NA,"RUIZ, Raul","R000599",1972,NA,-0.239,0.064,-1.59724,0.94455,28,1,NA,-0.43,0.903
116,"House",21312,71,41,"CA",100,NA,NA,"TAKANO, Mark","T000472",1960,NA,-0.465,-0.256,-0.06003,0.99786,28,0,NA,-0.565,-0.11
116,"House",21313,71,47,"CA",100,NA,NA,"LOWENTHAL, Alan","L000579",1941,NA,-0.449,-0.358,-0.07009,0.9975,28,0,NA,-0.565,-0.11
116,"House",21314,71,51,"CA",100,NA,NA,"VARGAS, Juan","V000130",1961,NA,-0.397,0.123,-0.15646,0.99443,28,0,NA,-0.565,-0.11
116,"House",21315,71,52,"CA",100,NA,NA,"PETERS, Scott","P000608",1958,NA,-0.177,-0.061,-0.88677,0.96883,28,0,NA,-0.565,-0.11
116,"House",21504,71,11,"CA",100,NA,NA,"DESAULNIER, Mark James","D000623",1952,NA,-0.532,-0.346,-0.06395,0.99772,28,0,NA,-0.565,-0.11
116,"House",21506,71,31,"CA",100,NA,NA,"AGUILAR, Peter Rey","A000371",1979,NA,-0.286,0.131,-0.34139,0.98788,28,0,NA,-0.565,-0.11
116,"House",21507,71,33,"CA",100,NA,NA,"LIEU, Ted","L000582",1969,NA,-0.361,-0.252,-0.10361,0.99631,28,0,NA,-0.565,-0.11
116,"House",21508,71,35,"CA",100,NA,NA,"TORRES, Norma Judith","T000474",1965,NA,-0.359,0.032,-0.15622,0.99444,28,0,NA,-0.565,-0.11
116,"House",21703,71,44,"CA",100,NA,NA,"BARRAGÁN, Nanette Diaz","B001300",1976,NA,-0.508,0.143,-0.09083,0.99676,28,0,NA,-0.565,-0.11
116,"House",21709,71,24,"CA",100,NA,NA,"CARBAJAL, Salud","C001112",1964,NA,-0.297,0.186,-0.35581,0.98737,28,0,NA,-0.565,-0.11
116,"House",21711,71,46,"CA",100,NA,NA,"CORREA, Jose Luis","C001110",1958,NA,-0.275,0.355,-0.66305,0.9766,28,0,NA,-0.565,-0.11
116,"House",21728,71,17,"CA",100,NA,NA,"KHANNA, Rohit","K000389",1976,NA,-0.609,-0.162,-6.79421,0.78455,28,1,NA,-0.322,-0.947
116,"House",21740,71,20,"CA",100,NA,NA,"PANETTA, James Varni","P000613",1969,NA,-0.307,-0.032,-0.20529,0.99269,28,0,NA,-0.565,-0.11
116,"House",21754,71,34,"CA",100,NA,NA,"GOMEZ, Jimmy","G000585",1974,NA,-0.611,0.004,-0.05315,0.9981,28,0,NA,-0.565,-0.11
116,"House",21907,71,39,"CA",100,NA,NA,"CISNEROS, Gil","C001123",1972,NA,-0.199,0.48,-3.88333,0.8705,28,2,NA,-0.199,0.479
116,"House",21909,71,21,"CA",100,NA,NA,"COX, TJ","C001124",1963,NA,-0.565,-0.11,-0.04949,0.99823,28,0,NA,-0.565,-0.11
116,"House",21930,71,10,"CA",100,NA,NA,"HARDER, Josh","H001090",1986,NA,-0.565,-0.11,-0.04949,0.99823,28,0,NA,-0.565,-0.11
116,"House",21932,71,25,"CA",100,NA,NA,"HILL, Katie","H001087",1987,NA,-0.565,-0.11,-0.04949,0.99823,28,0,NA,-0.565,-0.11
116,"House",21939,71,49,"CA",100,NA,NA,"LEVIN, Mike","L000593",1978,NA,-0.565,-0.11,-0.04949,0.99823,28,0,NA,-0.565,-0.11
116,"House",21954,71,45,"CA",100,NA,NA,"PORTER, Katie","P000618",1974,NA,-0.565,-0.11,-0.04949,0.99823,28,0,NA,-0.565,-0.11
116,"House",21960,71,48,"CA",100,NA,NA,"ROUDA, Harley","R000616",1961,NA,-0.199,0.48,-3.88333,0.8705,28,2,NA,-0.199,0.479
116,"House",29106,71,43,"CA",100,NA,NA,"WATERS, Maxine","W000187",1938,NA,-0.654,-0.084,-4.22046,0.85529,27,1,NA,-0.414,0.91
116,"House",29312,71,18,"CA",100,NA,NA,"ESHOO, Anna Georges","E000215",1942,NA,-0.381,-0.432,-0.10493,0.99626,28,0,NA,-0.565,-0.11
116,"House",29317,71,40,"CA",100,NA,NA,"ROYBAL-ALLARD, Lucille","R000486",1941,NA,-0.471,-0.19,-0.05803,0.99793,28,0,NA,-0.565,-0.11
116,"House",29323,71,42,"CA",200,NA,NA,"CALVERT, Ken","C000059",1953,NA,0.349,0.204,-0.69588,0.97545,28,0,NA,0.408,0.913
116,"House",29504,71,19,"CA",100,NA,NA,"LOFGREN, Zoe","L000397",1947,NA,-0.402,-0.444,-0.09558,0.99659,28,0,NA,-0.565,-0.11
116,"House",29707,71,30,"CA",100,NA,NA,"SHERMAN, Brad","S000344",1954,NA,-0.342,-0.15,-0.12919,0.9954,28,0,NA,-0.565,-0.11
116,"House",29778,71,13,"CA",100,NA,NA,"LEE, Barbara","L000551",1946,NA,-0.683,-0.584,-0.15927,0.99433,28,0,NA,-0.565,-0.11
116,"House",29901,71,5,"CA",100,NA,NA,"THOMPSON, Michael","T000460",1951,NA,-0.396,0.058,-2.20457,0.92429,28,1,NA,-0.43,0.903
116,"House",29903,71,32,"CA",100,NA,NA,"NAPOLITANO, Grace Flores","N000179",1936,NA,-0.448,-0.248,-0.06334,0.99774,28,0,NA,-0.565,-0.11
116,"House",20704,62,5,"CO",200,NA,NA,"LAMBORN, Doug","L000564",1954,NA,0.689,0.185,-0.76518,0.97304,28,0,NA,0.408,0.913
116,"House",20705,62,7,"CO",100,NA,NA,"PERLMUTTER, Ed","P000593",1953,NA,-0.281,0.081,-1.6328,0.94335,28,1,NA,-0.43,0.903
116,"House",21111,62,3,"CO",200,NA,NA,"TIPTON, Scott","T000470",1956,NA,0.453,-0.03,-0.56219,0.98012,28,0,NA,0.408,0.913
116,"House",21510,62,4,"CO",200,NA,NA,"BUCK, Kenneth Robert","B001297",1959,NA,0.768,-0.497,-0.83194,0.95926,20,1,NA,0.453,0.495
116,"House",21912,62,6,"CO",100,NA,NA,"CROW, Jason","C001121",1979,NA,-0.119,-0.221,-2.69058,0.90838,28,1,NA,-0.117,-0.223
116,"House",21948,62,2,"CO",100,NA,NA,"NEGUSE, Joseph","N000191",1984,NA,-0.565,-0.11,-0.04949,0.99823,28,0,NA,-0.565,-0.11
116,"House",29710,62,1,"CO",100,NA,NA,"DeGETTE, Diana","D000197",1957,NA,-0.432,-0.312,-0.07004,0.9975,28,0,NA,-0.565,-0.11
116,"House",20706,1,2,"CT",100,NA,NA,"COURTNEY, Joe","C001069",1953,NA,-0.344,0.018,-0.16853,0.994,28,0,NA,-0.565,-0.11
116,"House",20907,1,4,"CT",100,NA,NA,"HIMES, James A.","H001047",1966,NA,-0.241,-0.252,-0.39784,0.98589,28,0,NA,-0.565,-0.11
116,"House",21931,1,5,"CT",100,NA,NA,"HAYES, Jahana","H001081",1973,NA,-0.456,0.26,-0.00714,0.99974,27,0,NA,-0.456,0.26
116,"House",29109,1,3,"CT",100,NA,NA,"DeLAURO, Rosa L.","D000216",1943,NA,-0.416,-0.121,-0.0794,0.99717,28,0,NA,-0.565,-0.11
116,"House",29908,1,1,"CT",100,NA,NA,"LARSON, John B.","L000557",1948,NA,-0.398,-0.056,-0.09905,0.99647,28,0,NA,-0.565,-0.11
116,"House",21706,11,1,"DE",100,NA,NA,"BLUNT ROCHESTER, Lisa","B001303",1962,NA,-0.324,-0.093,-0.16106,0.99426,28,0,NA,-0.565,-0.11
116,"House",20316,43,25,"FL",200,NA,NA,"DIAZ-BALART, Mario","D000600",1961,NA,0.277,0.105,-2.81479,0.90436,28,0,NA,0.408,0.913
116,"House",20504,43,23,"FL",100,NA,NA,"WASSERMAN SCHULTZ, Debbie","W000797",1966,NA,-0.422,0.064,-0.11389,0.99594,28,0,NA,-0.565,-0.11
116,"House",20708,43,14,"FL",100,NA,NA,"CASTOR, Kathy","C001066",1966,NA,-0.439,0.049,-0.0995,0.99645,28,0,NA,-0.565,-0.11
116,"House",20709,43,16,"FL",200,NA,NA,"BUCHANAN, Vernon G.","B001260",1951,NA,0.359,-0.149,-1.63209,0.93916,26,0,NA,0.444,0.581
116,"House",20758,43,12,"FL",200,NA,NA,"BILIRAKIS, Gus","B001257",1963,NA,0.404,0.025,-0.67526,0.97617,28,0,NA,0.408,0.913
116,"House",20909,43,8,"FL",200,NA,NA,"POSEY, Bill","P000599",1947,NA,0.514,-0.317,-2.6937,0.90828,28,1,NA,0.643,-0.553
116,"House",20959,43,22,"FL",100,NA,NA,"DEUTCH, Theodore E. (Ted)","D000610",1966,NA,-0.4,-0.103,-0.08975,0.9968,28,0,NA,-0.565,-0.11
116,"House",21116,43,11,"FL",200,NA,NA,"WEBSTER, Daniel A.","W000806",1949,NA,0.485,-0.013,-4.84962,0.84097,28,2,NA,0.634,-0.645
116,"House",21118,43,24,"FL",100,NA,NA,"WILSON, Frederica","W000808",1942,NA,-0.474,-0.016,-0.01231,0.99944,22,0,NA,-0.458,0.26
116,"House",21317,43,3,"FL",200,NA,NA,"YOHO, Ted","Y000065",1955,NA,0.701,-0.379,-2.77661,0.90559,28,1,NA,0.917,-0.169
116,"House",21321,43,21,"FL",100,NA,NA,"FRANKEL, Lois","F000462",1948,NA,-0.403,-0.093,-0.00546,0.99961,14,0,NA,-0.44,0.086
116,"House",21712,43,13,"FL",100,NA,NA,"CRIST, Charlie Joseph Jr.","C001111",1956,NA,-0.211,-0.02,-0.5863,0.97928,28,0,NA,-0.565,-0.11
116,"House",21713,43,10,"FL",100,NA,NA,"DEMINGS, Valdez Butler","D000627",1957,NA,-0.347,-0.227,-0.1177,0.99581,28,0,NA,-0.565,-0.11
116,"House",21714,43,2,"FL",200,NA,NA,"DUNN, Neal Patrick","D000628",1953,NA,0.501,0.278,-0.28443,0.98989,28,0,NA,0.408,0.913
116,"House",21719,43,1,"FL",200,NA,NA,"GAETZ, Matthew L. II","G000578",1982,NA,0.753,-0.472,-0.89839,0.9647,25,1,NA,0.992,-0.13
116,"House",21732,43,5,"FL",100,NA,NA,"LAWSON, Alfred Jr.","L000586",1948,NA,-0.255,0.082,-0.40441,0.98457,26,0,NA,-0.565,-0.11
116,"House",21735,43,18,"FL",200,NA,NA,"MAST, Brian Jeffery","M001199",1980,NA,0.334,-0.139,-0.39407,0.96481,11,0,NA,0.44,0.418
116,"House",21738,43,7,"FL",100,NA,NA,"MURPHY, Stephanie","M001202",1978,NA,-0.153,0.019,-1.27136,0.95561,28,0,NA,-0.565,-0.11
116,"House",21742,43,19,"FL",200,NA,NA,"ROONEY, Francis","R000607",1953,NA,0.566,-0.299,-0.09624,0.99616,25,0,NA,0.456,0.508
116,"House",21744,43,4,"FL",200,NA,NA,"RUTHERFORD, John Henry","R000609",1952,NA,0.347,0.556,-0.22833,0.99188,28,0,NA,0.408,0.913
