"state_abb","district","year","total_votes","dem","other","rep"
"AK",1,1992,253775,0.308517387449512,0.28955176829869,0.401930844251798
"AK",1,1996,241620,0.332671136495323,0.159316281764755,0.508012581739922
"AK",1,2000,284492,0.277702009195338,0.133887771888137,0.588410218916525
"AK",1,2000,285560,0.276663398235047,0.137127048606247,0.586209553158706
"AK",1,2004,312598,0.355168619121044,0.0341780817535621,0.610653299125394
"AK",1,2008,326197,0.378893735993893,0.0268610686180437,0.594245195388063
"AK",1,2012,300495,0.408126591124644,0.043857634902411,0.548015773972945
"AK",1,2016,318608,0.36550871290112,0.121676166323507,0.512815120775373
"AL",1,1992,229420,0.367021183854939,0.116803242960509,0.516175573184552
"AL",1,1996,213867,0.393627815417993,0.077061912309987,0.52931027227202
"AL",1,2000,229878,0.374729204186569,0.0208719407685816,0.60439885504485
"AL",1,2000,233974,0.377456469522255,0.0207971825929377,0.601746347884808
"AL",1,2004,262571,0.349741593702275,0.00731992489650418,0.642938481401221
"AL",1,2008,301919,0.384146078915206,0.00723372825161716,0.608620192833177
"AL",1,2008,304686,0.383686811996613,0.00723039457014763,0.609082793433239
"AL",1,2012,299243,0.37331533235531,0.00931684283341632,0.617367824811274
"AL",1,2016,305780,0.337759173261822,0.032484138923409,0.629756687814769
"AL",2,1992,234199,0.352478020828441,0.116896314672565,0.530625664498994
"AL",2,1996,217994,0.373955246474674,0.0659421818949145,0.560102571630412
"AL",2,2000,224664,0.375827903001816,0.0136247907987038,0.61054730619948
"AL",2,2000,231428,0.355285445149247,0.0155469519677826,0.62916760288297
"AL",2,2004,255561,0.328856906961547,0.00426903948568052,0.666874053552772
"AL",2,2008,291759,0.36903403151231,0.00504525995770482,0.625920708529985
"AL",2,2008,293091,0.350147223899744,0.00625061840861712,0.643602157691638
"AL",2,2012,290119,0.364112657219968,0.00805531523271485,0.627832027547317
"AL",2,2016,287564,0.327565341976047,0.0278581463604624,0.644576511663491
"AL",3,1992,220948,0.417030251461882,0.107590926371816,0.475378822166302
"AL",3,1996,201579,0.439088397104857,0.0733161688469533,0.48759543404819
"AL",3,2000,217520,0.466306546524458,0.0173271423317396,0.516366311143803
"AL",3,2000,222458,0.412981326812252,0.0190822537287938,0.567936419458954
