"congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2"
116,"Senate",41705,41,0,"AL",100,NA,NA,"JONES, Gordon Douglas (Doug)","J000300",1954,NA,-0.111,0.131,-2.24313,0.68808,6,2,NA,0.018,0.233
116,"Senate",94659,41,0,"AL",200,NA,NA,"SHELBY, Richard C.","S000320",1934,NA,0.431,0.538,-0.19087,0.96869,6,0,NA,0.544,0.839
116,"Senate",40300,81,0,"AK",200,NA,NA,"MURKOWSKI, Lisa","M001153",1957,NA,0.208,-0.286,-3.5924,0.54951,6,3,NA,0.544,0.839
116,"Senate",41500,81,0,"AK",200,NA,NA,"SULLIVAN, Daniel Scott","S001198",1964,NA,0.466,0.107,-0.55293,0.91196,6,0,NA,0.544,0.839
116,"Senate",21300,61,0,"AZ",100,NA,NA,"SINEMA, Kyrsten","S001191",1976,NA,-0.107,0.058,-2.51616,0.65747,6,2,NA,0.018,0.233
116,"Senate",21501,61,0,"AZ",200,NA,NA,"McSALLY, Martha","M001197",1966,NA,0.346,-0.01,-3.40292,0.56714,6,3,NA,0.018,0.233
116,"Senate",20101,42,0,"AR",200,NA,NA,"BOOZMAN, John","B001236",1950,NA,0.401,0.246,-5.56316,0.39566,6,3,NA,0.018,0.233
116,"Senate",21301,42,0,"AR",200,NA,NA,"COTTON, Tom","C001095",1977,NA,0.613,0.122,-6.82044,0.32086,6,3,NA,0.018,0.233
116,"Senate",41701,71,0,"CA",100,NA,NA,"HARRIS, Kamala Devi","H001075",1964,NA,-0.694,-0.067,-0.00467,0.99922,6,0,NA,-0.696,-0.245
116,"Senate",49300,71,0,"CA",100,NA,NA,"FEINSTEIN, Dianne","F000062",1933,NA,-0.27,-0.214,-0.13183,0.97827,6,0,NA,-0.696,-0.245
116,"Senate",21112,62,0,"CO",200,NA,NA,"GARDNER, Cory","G000562",1974,NA,0.453,-0.014,-4.55767,0.46785,6,3,NA,0.018,0.233
116,"Senate",40910,62,0,"CO",100,NA,NA,"BENNET, Michael F.","B001267",1964,NA,-0.207,-0.124,-0.41041,0.93389,6,0,NA,-0.696,-0.245
116,"Senate",20707,1,0,"CT",100,NA,NA,"MURPHY, Christopher","M001169",1973,NA,-0.306,-0.174,-0.09122,0.98491,6,0,NA,-0.696,-0.245
116,"Senate",41101,1,0,"CT",100,NA,NA,"BLUMENTHAL, Richard","B001277",1946,NA,-0.417,-0.11,-0.02681,0.99554,6,0,NA,-0.696,-0.245
116,"Senate",15015,11,0,"DE",100,NA,NA,"CARPER, Thomas Richard","C000174",1947,NA,-0.174,-0.219,-0.46876,0.92485,6,0,NA,-0.696,-0.245
116,"Senate",40916,11,0,"DE",100,NA,NA,"COONS, Christopher A.","C001088",1963,NA,-0.24,-0.214,-0.19716,0.96767,6,0,NA,-0.696,-0.245
116,"Senate",41102,43,0,"FL",200,NA,NA,"RUBIO, Marco","R000595",1971,NA,0.578,-0.301,-4.22044,0.4949,6,3,NA,0.018,0.233
116,"Senate",41903,43,0,"FL",200,NA,NA,"SCOTT, Richard Lynn (Rick)","S001217",1952,NA,NA,NA,NA,NA,NA,NA,NA,0.544,0.839
116,"Senate",29909,44,0,"GA",200,NA,NA,"ISAKSON, Johnny","I000055",1944,NA,0.403,-0.012,-0.93342,0.82971,5,0,NA,0.542,0.84
116,"Senate",41501,44,0,"GA",200,NA,NA,"PERDUE, David Alfred, Jr.","P000612",1949,NA,0.606,-0.158,-0.63516,0.85318,4,0,NA,0.542,0.84
116,"Senate",20713,82,0,"HI",100,NA,NA,"HIRONO, Mazie","H001042",1947,NA,-0.485,-0.092,-0.01352,0.99775,6,0,NA,-0.696,-0.245
116,"Senate",41112,82,0,"HI",100,NA,NA,"SCHATZ, Brian Emanuel","S001194",1972,NA,-0.415,-0.073,-0.0311,0.99483,6,0,NA,-0.696,-0.245
116,"Senate",29345,63,0,"ID",200,NA,NA,"CRAPO, Michael Dean","C000880",1951,NA,0.509,0.282,-0.29449,0.9428,5,0,NA,0.542,0.84
116,"Senate",40902,63,0,"ID",200,NA,NA,"RISCH, James","R000584",1943,NA,0.636,0.566,-0.09274,0.98466,6,0,NA,0.544,0.839
116,"Senate",15021,21,0,"IL",100,NA,NA,"DURBIN, Richard Joseph","D000563",1944,NA,-0.363,-0.364,-0.02689,0.99464,5,0,NA,-0.696,-0.245
116,"Senate",21325,21,0,"IL",100,NA,NA,"DUCKWORTH, Tammy","D000622",1968,NA,-0.32,0.085,-0.16997,0.96658,5,0,NA,-0.696,-0.245
116,"Senate",21133,22,0,"IN",200,NA,NA,"YOUNG, Todd","Y000064",1972,NA,0.482,0.038,-0.61297,0.90288,6,0,NA,0.544,0.839
116,"Senate",41900,22,0,"IN",200,NA,NA,"BRAUN, Michael","B001310",1954,NA,NA,NA,NA,NA,NA,NA,NA,0.544,0.839
116,"Senate",14226,31,0,"IA",200,NA,NA,"GRASSLEY, Charles Ernest","G000386",1933,NA,0.343,-0.07,-1.39388,0.7927,6,0,NA,0.544,0.839
116,"Senate",41502,31,0,"IA",200,NA,NA,"ERNST, Joni","E000295",1970,NA,0.514,0.016,-0.5755,0.90854,6,0,NA,0.544,0.839
116,"Senate",14852,32,0,"KS",200,NA,NA,"ROBERTS, Charles Patrick (Pat)","R000307",1936,NA,0.414,-0.093,-1.06639,0.83717,6,0,NA,0.544,0.839
116,"Senate",29722,32,0,"KS",200,NA,NA,"MORAN, Jerry","M000934",1954,NA,0.414,0.239,-5.6855,0.24138,4,3,NA,0.006,0.057
116,"Senate",14921,51,0,"KY",200,NA,NA,"McCONNELL, Addison Mitchell (Mitch)","M000355",1942,NA,0.403,-0.001,-9.60151,0.20185,6,2,NA,0.308,-0.951
116,"Senate",41104,51,0,"KY",200,NA,NA,"PAUL, Rand","P000603",1963,NA,0.876,-0.482,-0.94976,0.8536,6,0,NA,0.544,0.839
116,"Senate",20919,45,0,"LA",200,NA,NA,"CASSIDY, Bill","C001075",1957,NA,0.452,-0.104,-0.93742,0.85536,6,0,NA,0.544,0.839
116,"Senate",41703,45,0,"LA",200,NA,NA,"KENNEDY, John Neely","K000393",1951,NA,0.473,0.374,-7.49019,0.28697,6,3,NA,0.018,0.233
116,"Senate",41300,2,0,"ME",328,NA,NA,"KING, Angus Stanley, Jr.","K000383",1944,NA,-0.152,-0.232,-0.59746,0.90522,6,0,NA,-0.696,-0.245
116,"Senate",49703,2,0,"ME",200,NA,NA,"COLLINS, Susan Margaret","C001035",1952,NA,0.111,-0.553,-1.95014,0.72251,6,1,NA,0.018,0.233
116,"Senate",15408,52,0,"MD",100,NA,NA,"CARDIN, Benjamin Louis","C000141",1943,NA,-0.327,-0.252,-0.05443,0.99097,6,0,NA,-0.696,-0.245
116,"Senate",20330,52,0,"MD",100,NA,NA,"VAN HOLLEN, Christopher","V000128",1959,NA,-0.392,-0.174,-0.02987,0.99503,6,0,NA,-0.696,-0.245
116,"Senate",14435,3,0,"MA",100,NA,NA,"MARKEY, Edward John","M000133",1946,NA,-0.504,-0.435,-0.00758,0.99874,6,0,NA,-0.696,-0.245
116,"Senate",41301,3,0,"MA",100,NA,NA,"WARREN, Elizabeth","W000817",1949,NA,-0.757,-0.263,-0.00476,0.99921,6,0,NA,-0.696,-0.245
116,"Senate",20923,23,0,"MI",100,NA,NA,"PETERS, Gary C.","P000595",1958,NA,-0.237,-0.212,-0.20858,0.96583,6,0,NA,-0.696,-0.245
116,"Senate",29732,23,0,"MI",100,NA,NA,"STABENOW, Deborah Ann","S000770",1950,NA,-0.331,0.029,-0.13347,0.978,6,0,NA,-0.696,-0.245
116,"Senate",40700,33,0,"MN",100,NA,NA,"KLOBUCHAR, Amy","K000367",1960,NA,-0.247,-0.166,-0.209,0.96577,6,0,NA,-0.696,-0.245
116,"Senate",41706,33,0,"MN",100,NA,NA,"SMITH, Tina","S001203",1958,NA,-0.346,-0.124,-0.06269,0.98961,6,0,NA,-0.696,-0.245
116,"Senate",29534,46,0,"MS",200,NA,NA,"WICKER, Roger F.","W000437",1951,NA,0.377,0.359,-0.43562,0.92997,6,0,NA,0.544,0.839
116,"Senate",41707,46,0,"MS",200,NA,NA,"HYDE-SMITH, Cindy","H001079",1959,NA,0.411,0.189,-0.57279,0.90895,6,0,NA,0.544,0.839
116,"Senate",29735,34,0,"MO",200,NA,NA,"BLUNT, Roy","B000575",1950,NA,0.43,0.289,-0.40436,0.93483,6,0,NA,0.544,0.839
116,"Senate",41901,34,0,"MO",200,NA,NA,"HAWLEY, Joshua David","H001089",1979,NA,NA,NA,NA,NA,NA,NA,NA,0.018,0.233
116,"Senate",21338,64,0,"MT",200,NA,NA,"DAINES, Steve","D000618",1962,NA,0.543,-0.107,-4.88243,0.4432,6,3,NA,0.018,0.233
116,"Senate",40702,64,0,"MT",100,NA,NA,"TESTER, Jon","T000464",1956,NA,-0.21,0.14,-0.90675,0.85974,6,0,NA,-0.696,-0.245
116,"Senate",41302,35,0,"NE",200,NA,NA,"FISCHER, Debra (Deb)","F000463",1951,NA,0.467,0.315,-0.31879,0.94825,6,0,NA,0.544,0.839
116,"Senate",41503,35,0,"NE",200,NA,NA,"SASSE, Benjamin Eric","S001197",1972,NA,0.812,-0.276,-5.24525,0.41719,6,3,NA,0.018,0.233
116,"Senate",21743,65,0,"NV",100,NA,NA,"ROSEN, Jacklyn Sheryl","R000608",1957,NA,-0.244,0.211,-0.76434,0.88039,6,0,NA,-0.696,-0.245
116,"Senate",41700,65,0,"NV",100,NA,NA,"CORTEZ MASTO, Catherine Marie","C001113",1964,NA,-0.395,0.342,-0.19922,0.96734,6,0,NA,-0.696,-0.245
116,"Senate",40906,4,0,"NH",100,NA,NA,"SHAHEEN, Jeanne","S001181",1947,NA,-0.251,-0.218,-0.16746,0.97248,6,0,NA,-0.696,-0.245
116,"Senate",41702,4,0,"NH",100,NA,NA,"HASSAN, Margaret (Maggie)","H001076",1958,NA,-0.258,-0.085,-0.2379,0.96113,6,0,NA,-0.696,-0.245
116,"Senate",29373,12,0,"NJ",100,NA,NA,"MENENDEZ, Robert","M000639",1954,NA,-0.363,-0.115,-8.07107,0.26049,6,2,NA,0.154,-0.718
116,"Senate",41308,12,0,"NJ",100,NA,NA,"BOOKER, Cory Anthony","B001288",1969,NA,-0.612,-0.166,-0.00493,0.99918,6,0,NA,-0.696,-0.245
116,"Senate",20930,66,0,"NM",100,NA,NA,"HEINRICH, Martin","H001046",1971,NA,-0.303,-0.022,-0.16078,0.97356,6,0,NA,-0.696,-0.245
116,"Senate",29924,66,0,"NM",100,NA,NA,"UDALL, Thomas (Tom)","U000039",1948,NA,-0.453,0.179,-0.0531,0.99119,6,0,NA,-0.696,-0.245
116,"Senate",14858,13,0,"NY",100,NA,NA,"SCHUMER, Charles Ellis (Chuck)","S000148",1950,NA,-0.352,-0.389,-0.02972,0.99506,6,0,NA,-0.696,-0.245
116,"Senate",20735,13,0,"NY",100,NA,NA,"GILLIBRAND, Kirsten","G000555",1966,NA,-0.412,-0.23,-0.01511,0.99623,4,0,NA,-0.788,-0.479
116,"Senate",29548,47,0,"NC",200,NA,NA,"BURR, Richard M.","B001135",1955,NA,0.453,-0.056,-0.82934,0.84716,5,0,NA,0.542,0.84
116,"Senate",41504,47,0,"NC",200,NA,NA,"TILLIS, Thomas Roland (Thom)","T000476",1960,NA,0.424,0.006,-0.82986,0.87083,6,0,NA,0.544,0.839
116,"Senate",21350,36,0,"ND",200,NA,NA,"CRAMER, Kevin","C001096",1961,NA,0.392,0.305,-0.46772,0.92501,6,0,NA,0.544,0.839
116,"Senate",41107,36,0,"ND",200,NA,NA,"HOEVEN, John","H001061",1957,NA,0.341,0.334,-0.56917,0.9095,6,0,NA,0.544,0.839
116,"Senate",29386,24,0,"OH",200,NA,NA,"PORTMAN, Robert Jones (Rob)","P000449",1955,NA,0.374,-0.248,-1.66367,0.75784,6,0,NA,0.544,0.839
116,"Senate",29389,24,0,"OH",100,NA,NA,"BROWN, Sherrod","B000944",1952,NA,-0.438,-0.136,-0.01951,0.99675,6,0,NA,-0.696,-0.245
116,"Senate",15424,53,0,"OK",200,NA,NA,"INHOFE, James Mountain","I000024",1934,NA,0.552,0.042,-0.47881,0.9233,6,0,NA,0.544,0.839
116,"Senate",21166,53,0,"OK",200,NA,NA,"LANKFORD, James","L000575",1968,NA,0.574,0.157,-0.33788,0.94524,6,0,NA,0.544,0.839
116,"Senate",14871,72,0,"OR",100,NA,NA,"WYDEN, Ronald Lee","W000779",1949,NA,-0.321,-0.433,-0.03953,0.99343,6,0,NA,-0.696,-0.245
116,"Senate",40908,72,0,"OR",100,NA,NA,"MERKLEY, Jeff","M001176",1956,NA,-0.48,-0.795,-0.01265,0.99789,6,0,NA,-0.696,-0.245
116,"Senate",29935,14,0,"PA",200,NA,NA,"TOOMEY, Patrick Joseph","T000461",1961,NA,0.639,-0.298,-0.80976,0.87375,6,0,NA,0.544,0.839
116,"Senate",40703,14,0,"PA",100,NA,NA,"CASEY, Robert (Bob), Jr.","C001070",1960,NA,-0.305,0.187,-0.33635,0.94548,6,0,NA,-0.696,-0.245
116,"Senate",29142,5,0,"RI",100,NA,NA,"REED, John F. (Jack)","R000122",1949,NA,-0.38,-0.225,-0.03002,0.99501,6,0,NA,-0.696,-0.245
116,"Senate",40704,5,0,"RI",100,NA,NA,"WHITEHOUSE, Sheldon","W000802",1955,NA,-0.397,-0.194,-0.02638,0.99561,6,0,NA,-0.696,-0.245
116,"Senate",21173,48,0,"SC",200,NA,NA,"SCOTT, Tim","S001184",1965,NA,0.652,-0.003,-0.42564,0.93152,6,0,NA,0.544,0.839
116,"Senate",29566,48,0,"SC",200,NA,NA,"GRAHAM, Lindsey O.","G000359",1955,NA,0.408,-0.172,-1.27128,0.80906,6,0,NA,0.544,0.839
116,"Senate",29754,37,0,"SD",200,NA,NA,"THUNE, John","T000250",1961,NA,0.411,0.132,-0.66185,0.89556,6,0,NA,0.544,0.839
116,"Senate",41505,37,0,"SD",200,NA,NA,"ROUNDS, Marion Michael (Mike)","R000605",1954,NA,0.392,0.038,-0.89344,0.86165,6,0,NA,0.544,0.839
116,"Senate",20351,54,0,"TN",200,NA,NA,"BLACKBURN, Marsha","B001243",1952,NA,0.615,0.128,-0.33124,0.94629,6,0,NA,0.544,0.839
116,"Senate",40304,54,0,"TN",200,NA,NA,"ALEXANDER, Lamar","A000360",1940,NA,0.323,-0.182,-1.8524,0.73438,6,0,NA,0.544,0.839
116,"Senate",40305,49,0,"TX",200,NA,NA,"CORNYN, John","C001056",1952,NA,0.495,-0.009,-0.65005,0.87809,5,0,NA,0.544,0.839
116,"Senate",41304,49,0,"TX",200,NA,NA,"CRUZ, Rafael Edward (Ted)","C001098",1970,NA,0.817,-0.303,-0.70273,0.86888,5,0,NA,0.544,0.839
116,"Senate",41110,67,0,"UT",200,NA,NA,"LEE, Mike","L000577",1971,NA,0.919,-0.394,-0.85402,0.86733,6,0,NA,0.544,0.839
116,"Senate",41902,67,0,"UT",200,NA,NA,"ROMNEY, Willard Mitt (Mitt)","R000615",1947,NA,NA,NA,NA,NA,NA,NA,NA,0.544,0.839
116,"Senate",14307,6,0,"VT",100,NA,NA,"LEAHY, Patrick Joseph","L000174",1940,NA,-0.37,-0.136,-0.04392,0.99271,6,0,NA,-0.696,-0.245
116,"Senate",29147,6,0,"VT",328,NA,NA,"SANDERS, Bernard","S000033",1941,NA,-0.521,-0.361,-0.00523,0.99895,5,0,NA,-0.696,-0.245
116,"Senate",40909,40,0,"VA",100,NA,NA,"WARNER, Mark","W000805",1954,NA,-0.195,-0.029,-0.65003,0.89732,6,0,NA,-0.696,-0.245
116,"Senate",41305,40,0,"VA",100,NA,NA,"KAINE, Timothy Michael (Tim)","K000384",1958,NA,-0.235,-0.105,-0.30254,0.95083,6,0,NA,-0.696,-0.245
116,"Senate",39310,73,0,"WA",100,NA,NA,"CANTWELL, Maria E.","C000127",1958,NA,-0.293,-0.399,-0.05916,0.99019,6,0,NA,-0.696,-0.245
116,"Senate",49308,73,0,"WA",100,NA,NA,"MURRAY, Patty","M001111",1950,NA,-0.343,-0.289,-0.04037,0.99329,6,0,NA,-0.696,-0.245
116,"Senate",20146,56,0,"WV",200,NA,NA,"CAPITO, Shelley Moore","C001047",1953,NA,0.261,0.053,-1.65159,0.75937,6,0,NA,0.544,0.839
116,"Senate",40915,56,0,"WV",100,NA,NA,"MANCHIN, Joe, III","M001183",1947,NA,-0.058,0.464,-1.27843,0.8081,6,0,NA,0.018,0.233
116,"Senate",29940,25,0,"WI",100,NA,NA,"BALDWIN, Tammy","B001230",1962,NA,-0.522,-0.227,-0.00744,0.99876,6,0,NA,-0.696,-0.245
116,"Senate",41111,25,0,"WI",200,NA,NA,"JOHNSON, Ron","J000293",1955,NA,0.602,-0.311,-0.89407,0.86156,6,0,NA,0.544,0.839
116,"Senate",40707,68,0,"WY",200,NA,NA,"BARRASSO, John A.","B001261",1952,NA,0.534,0.233,-0.31088,0.94951,6,0,NA,0.544,0.839
116,"Senate",49706,68,0,"WY",200,NA,NA,"ENZI, Michael B.","E000285",1944,NA,0.541,0.184,-0.34699,0.94381,6,0,NA,0.544,0.839
