"year","date","democrat","republican","electionday","daysuntil","d.poll.margin","d.actual.share","r.actual.share","d.actual.margin"
1980,"1979-10-01",53,33,"11/4/1980",400,20,41,50.7,-9.7
1980,"1979-10-25",45,41,"11/4/1980",376,4,41,50.7,-9.7
1980,"1979-10-25",45,41,"11/4/1980",376,4,41,50.7,-9.7
1980,"1979-11-10",53,42,"11/4/1980",360,11,41,50.7,-9.7
1980,"1979-11-12",47,42,"11/4/1980",358,5,41,50.7,-9.7
1980,"1979-11-12",47,42,"11/4/1980",358,5,41,50.7,-9.7
1980,"1979-11-19",48,42,"11/4/1980",351,6,41,50.7,-9.7
1980,"1979-11-29",53,44,"11/4/1980",341,9,41,50.7,-9.7
1980,"1979-12-04",57,35,"11/4/1980",336,22,41,50.7,-9.7
1980,"1979-12-09",60,36,"11/4/1980",331,24,41,50.7,-9.7
1980,"1979-12-12",50,36,"11/4/1980",328,14,41,50.7,-9.7
1980,"1979-12-16",59,36,"11/4/1980",324,23,41,50.7,-9.7
1980,"1979-12-30",59,36,"11/4/1980",310,23,41,50.7,-9.7
1980,"1980-01-01",49,39,"11/4/1980",308,10,41,50.7,-9.7
1980,"1980-01-06",63,32,"11/4/1980",303,31,41,50.7,-9.7
1980,"1980-01-22",65,31,"11/4/1980",287,34,41,50.7,-9.7
1980,"1980-02-03",60,31,"11/4/1980",275,29,41,50.7,-9.7
1980,"1980-03-02",57,34,"11/4/1980",247,23,41,50.7,-9.7
1980,"1980-03-08",58,40,"11/4/1980",241,18,41,50.7,-9.7
1980,"1980-03-20",45,44,"11/4/1980",229,1,41,50.7,-9.7
1980,"1980-03-30",38,38,"11/4/1980",219,0,41,50.7,-9.7
1980,"1980-03-30",48,43,"11/4/1980",219,5,41,50.7,-9.7
1980,"1980-03-30",40,34,"11/4/1980",219,6,41,50.7,-9.7
1980,"1980-03-30",43,44,"11/4/1980",219,-1,41,50.7,-9.7
1980,"1980-04-01",33,31,"11/4/1980",217,2,41,50.7,-9.7
1980,"1980-04-08",45,48,"11/4/1980",210,-3,41,50.7,-9.7
1980,"1980-04-13",51,42,"11/4/1980",205,9,41,50.7,-9.7
1980,"1980-04-13",51,42,"11/4/1980",205,9,41,50.7,-9.7
1980,"1980-04-13",42,35,"11/4/1980",205,7,41,50.7,-9.7
1980,"1980-04-14",42,34,"11/4/1980",204,8,41,50.7,-9.7
1980,"1980-04-25",33,42,"11/4/1980",193,-9,41,50.7,-9.7
1980,"1980-04-27",38,32,"11/4/1980",191,6,41,50.7,-9.7
1980,"1980-04-30",33,39,"11/4/1980",188,-6,41,50.7,-9.7
1980,"1980-05-05",38,33,"11/4/1980",183,5,41,50.7,-9.7
1980,"1980-05-19",40,32,"11/4/1980",169,8,41,50.7,-9.7
1980,"1980-05-22",37,36,"11/4/1980",166,1,41,50.7,-9.7
1980,"1980-06-01",48,41,"11/4/1980",156,7,41,50.7,-9.7
1980,"1980-06-01",39,32,"11/4/1980",156,7,41,50.7,-9.7
1980,"1980-06-08",43,45,"11/4/1980",149,-2,41,50.7,-9.7
1980,"1980-06-08",36,40,"11/4/1980",149,-4,41,50.7,-9.7
1980,"1980-06-09",44,50,"11/4/1980",148,-6,41,50.7,-9.7
1980,"1980-06-09",34,39,"11/4/1980",148,-5,41,50.7,-9.7
1980,"1980-06-09",44,51,"11/4/1980",148,-7,41,50.7,-9.7
1980,"1980-06-12",36,40,"11/4/1980",145,-4,41,50.7,-9.7
1980,"1980-06-12",29,34,"11/4/1980",145,-5,41,50.7,-9.7
1980,"1980-06-15",42,45,"11/4/1980",142,-3,41,50.7,-9.7
1980,"1980-06-15",35,33,"11/4/1980",142,2,41,50.7,-9.7
1980,"1980-06-16",45,42,"11/4/1980",141,3,41,50.7,-9.7
1980,"1980-06-16",31,39,"11/4/1980",141,-8,41,50.7,-9.7
1980,"1980-06-22",37,47,"11/4/1980",135,-10,41,50.7,-9.7
1980,"1980-06-22",36,49,"11/4/1980",135,-13,41,50.7,-9.7
1980,"1980-06-22",28,43,"11/4/1980",135,-15,41,50.7,-9.7
1980,"1980-06-22",30,41,"11/4/1980",135,-11,41,50.7,-9.7
1980,"1980-06-29",41,47,"11/4/1980",128,-6,41,50.7,-9.7
1980,"1980-06-29",32,37,"11/4/1980",128,-5,41,50.7,-9.7
1980,"1980-07-01",37,31,"11/4/1980",126,6,41,50.7,-9.7
1980,"1980-07-09",27,42,"11/4/1980",118,-15,41,50.7,-9.7
