year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party,writein,candidatevotes,totalvotes,version
1990,Alaska,AK,2,94,81,US House,0,gen,FALSE,John S. Devens,democrat,FALSE,91677,191647,20171005
2016,Alaska,AK,2,94,81,US House,0,gen,FALSE,Bernie Souphanavong,none,FALSE,9093,308198,20171005
2006,Alaska,AK,2,94,81,US House,0,gen,FALSE,Alexander Crawford,libertarian,FALSE,4029,234645,20171005
1984,Alaska,AK,2,94,81,US House,0,gen,FALSE,Donald E. Young,republican,FALSE,113582,206437,20171005
2016,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,155088,308198,20171005
1986,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,101799,180277,20171005
2002,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,169685,227725,20171005
1992,Alaska,AK,2,94,81,US House,0,gen,FALSE,Michael States,alaskan independence,FALSE,15049,239116,20171005
1998,Alaska,AK,2,94,81,US House,0,gen,FALSE,Jim Duncan,democrat,FALSE,77232,223300,20171005
1976,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,83722,118208,20171005
1996,Alaska,AK,2,94,81,US House,0,gen,FALSE,William J. Nemec II,alaskan independence,FALSE,5017,233700,20171005
2012,Alaska,AK,2,94,81,US House,0,gen,FALSE,Jim C. McDermott,libertarian,FALSE,15028,289804,20171005
2010,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,175384,254335,20171005
1980,Alaska,AK,2,94,81,US House,0,gen,FALSE,"Kevin \Pat\"" Parnell""",democrat,FALSE,39922,154618,20171005
2012,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,964,289804,20171005
1982,Alaska,AK,2,94,81,US House,0,gen,FALSE,Dave Carlson,democrat,FALSE,52011,181084,20171005
1998,Alaska,AK,2,94,81,US House,0,gen,FALSE,"John J. G. \Johnny\"" Grames""",green,FALSE,5923,223300,20171005
1986,Alaska,AK,2,94,81,US House,0,gen,FALSE,Pegge Begich,democrat,FALSE,74053,180277,20171005
2012,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,185296,289804,20171005
1984,Alaska,AK,2,94,81,US House,0,gen,FALSE,Pegge Begich,democrat,FALSE,86052,206437,20171005
1978,Alaska,AK,2,94,81,US House,0,gen,FALSE,Patrick Rodey,democrat,FALSE,55176,124187,20171005
1980,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,607,154618,20171005
2008,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,1205,316978,20171005
1996,Alaska,AK,2,94,81,US House,0,gen,FALSE,"John J. G. \Johnny\"" Grames""",green,FALSE,4513,233700,20171005
2008,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don R. Wright,alaskan independence,FALSE,14274,316978,20171005
2010,Alaska,AK,2,94,81,US House,0,gen,FALSE,"Harry T. Crawford, Jr.",democrat,FALSE,77606,254335,20171005
2000,Alaska,AK,2,94,81,US House,0,gen,FALSE,Anna C. Young,green,FALSE,22440,274393,20171005
2002,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,451,227725,20171005
2000,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,832,274393,20171005
1996,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,138834,233700,20171005
1986,Alaska,AK,2,94,81,US House,0,gen,FALSE,Betty (Belle Blue) Breck,libertarian,FALSE,4182,180277,20171005
2006,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,560,234645,20171005
2012,Alaska,AK,2,94,81,US House,0,gen,FALSE,Ted Gianoutsos,nominated by petition,FALSE,5589,289804,20171005
2016,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,1228,308198,20171005
1998,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,139676,223300,20171005
2008,Alaska,AK,2,94,81,US House,0,gen,FALSE,Ethan A. Berkowitz,democrat,FALSE,142560,316978,20171005
1980,Alaska,AK,2,94,81,US House,0,gen,FALSE,Donald E. Young,republican,FALSE,114089,154618,20171005
1990,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,967,191647,20171005
1990,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,99003,191647,20171005
1988,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,479,192955,20171005
1988,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,120595,192955,20171005
1984,Alaska,AK,2,94,81,US House,0,gen,FALSE,Other,,FALSE,295,206437,20171005
1978,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,68811,124187,20171005
1988,Alaska,AK,2,94,81,US House,0,gen,FALSE,Peter Gruenstein,democrat,FALSE,71881,192955,20171005
2004,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,1115,299996,20171005
2006,Alaska,AK,2,94,81,US House,0,gen,FALSE,Eva L. Ince,green,FALSE,1819,234645,20171005
1992,Alaska,AK,2,94,81,US House,0,gen,FALSE,Mike Milligan,green,FALSE,9529,239116,20171005
2008,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,158939,316978,20171005
2014,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,142572,279741,20171005
1998,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,469,223300,20171005
2004,Alaska,AK,2,94,81,US House,0,gen,FALSE,Alvin A. Anders,libertarian,FALSE,7157,299996,20171005
1984,Alaska,AK,2,94,81,US House,0,gen,FALSE,Betty Breck,independent,FALSE,6508,206437,20171005
2004,Alaska,AK,2,94,81,US House,0,gen,FALSE,Thomas M. Higgins,democrat,FALSE,67074,299996,20171005
2004,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,213216,299996,20171005
2002,Alaska,AK,2,94,81,US House,0,gen,FALSE,Clifford Greene,democrat,FALSE,39357,227725,20171005
2002,Alaska,AK,2,94,81,US House,0,gen,FALSE,Russell deForest,green,FALSE,14435,227725,20171005
1994,Alaska,AK,2,94,81,US House,0,gen,FALSE,Tony Smith,democrat,FALSE,68172,208240,20171005
1976,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,292,118208,20171005
2014,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,1277,279741,20171005
1994,Alaska,AK,2,94,81,US House,0,gen,FALSE,Joni (Jonni) Whitmore,green,FALSE,21277,208240,20171005
2000,Alaska,AK,2,94,81,US House,0,gen,FALSE,"Leonard J. \Len\"" Karpinski""",libertarian,FALSE,4802,274393,20171005
1982,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,128274,181084,20171005
