year,state_abb,district,total_votes,dem,other,rep
2018,AL,1,242617,0.368,0.001,0.632
2018,AL,2,226230,0.384,0.002,0.614
2018,AL,3,231915,0.362,0.001,0.637
2018,AL,4,230969,0.201,0.001,0.798
2018,AL,5,260673,0.389,0.001,0.61
2018,AL,6,278328,0.308,0.001,0.692
2018,AL,7,189163,0.978,0.022,0
2018,AK,0,282166,0.465,0.004,0.531
2018,AZ,1,266089,0.538,0,0.461
2018,AZ,2,294152,0.547,0,0.452
2018,AZ,3,179518,0.639,0,0.361
2018,AZ,4,277035,0.305,0.013,0.682
2018,AZ,5,313064,0.406,0,0.594
2018,AZ,6,313699,0.448,0,0.552
2018,AZ,7,132051,0.856,0.142,0.002
2018,AZ,8,304417,0.445,0,0.555
2018,AZ,9,261245,0.611,0,0.389
2018,AR,1,201245,0.288,0.023,0.689
2018,AR,2,253453,0.458,0.02,0.521
2018,AR,3,229708,0.326,0.026,0.647
2018,AR,4,204892,0.312,0.02,0.667
2018,CA,1,291594,0.451,0,0.549
2018,CA,2,315657,0.77,0,0.23
2018,CA,3,232251,0.581,0,0.419
2018,CA,4,340654,0.459,0,0.541
2018,CA,5,261018,0.789,0.211,0
2018,CA,6,201939,1,0,0
2018,CA,7,281617,0.55,0,0.45
2018,CA,8,170785,0,0,1
2018,CA,9,200763,0.565,0,0.435
2018,CA,10,221900,0.523,0,0.477
2018,CA,11,275681,0.741,0,0.259
2018,CA,12,317072,0.868,0,0.132
2018,CA,13,294837,0.884,0.116,0
2018,CA,14,266823,0.792,0,0.208
2018,CA,15,243929,0.73,0,0.27
2018,CA,16,142959,0.575,0,0.425
2018,CA,17,211162,0.753,0,0.247
2018,CA,18,302238,0.745,0,0.255
2018,CA,19,220319,0.738,0,0.262
2018,CA,20,225721,0.814,0.186,0
2018,CA,21,113616,0.504,0,0.496
2018,CA,22,222379,0.473,0,0.527
2018,CA,23,205774,0.363,0,0.637
2018,CA,24,284431,0.586,0,0.414
2018,CA,25,245022,0.544,0,0.456
2018,CA,26,255426,0.619,0,0.381
2018,CA,27,202636,1,0,0
2018,CA,28,250934,0.784,0,0.216
2018,CA,29,154692,0.806,0,0.194
2018,CA,30,260993,0.734,0,0.266
2018,CA,31,187495,0.587,0,0.413
2018,CA,32,177031,0.688,0,0.312
2018,CA,33,312860,0.7,0,0.3
2018,CA,34,151906,0.725,0.275,0
2018,CA,35,149024,0.694,0,0.306
2018,CA,36,207008,0.59,0,0.41
2018,CA,37,236378,0.891,0,0.109
2018,CA,38,202156,0.689,0,0.311
2018,CA,39,244393,0.516,0,0.484
2018,CA,40,121449,0.773,0.227,0
2018,CA,41,166248,0.651,0,0.349
2018,CA,42,231932,0.435,0,0.565
2018,CA,43,196052,0.777,0,0.223
2018,CA,44,143322,1,0,0
2018,CA,45,305289,0.521,0,0.479
2018,CA,46,147916,0.691,0,0.309
2018,CA,47,221036,0.649,0,0.351
2018,CA,48,294736,0.536,0,0.464
2018,CA,49,295030,0.564,0,0.436
2018,CA,50,259810,0.483,0,0.517
2018,CA,51,153828,0.712,0,0.288
2018,CA,52,296007,0.638,0,0.362
2018,CA,53,268794,0.691,0,0.309
2018,CO,1,369715,0.738,0.031,0.23
2018,CO,2,430765,0.603,0.061,0.336
2018,CO,3,336201,0.436,0.049,0.515
2018,CO,4,369621,0.394,0,0.606
2018,CO,5,322716,0.393,0.037,0.57
2018,CO,6,346822,0.541,0.03,0.429
2018,CO,7,338067,0.604,0.042,0.354
2018,CT,1,274140,0.639,0.011,0.35
2018,CT,2,289114,0.622,0.024,0.354
2018,CT,3,270239,0.646,0,0.354
2018,CT,4,275651,0.612,0,0.388
2018,CT,5,270664,0.559,0,0.441
2018,DE,0,352737,0.645,0,0.355
2018,FL,1,322388,0.329,0,0.671
2018,FL,2,295568,0.326,0,0.674
2018,FL,3,306496,0.424,0,0.576
2018,FL,4,381249,0.324,0.025,0.652
2018,FL,5,270326,0.668,0,0.332
2018,FL,6,333649,0.437,0,0.563
2018,FL,7,317398,0.577,0,0.423
2018,FL,8,360527,0.395,0,0.605
2018,FL,9,296737,0.58,0,0.42
2018,FL,10,0,1,0,0
2018,FL,11,367506,0.348,0,0.651
2018,FL,12,334918,0.397,0.022,0.581
2018,FL,13,316971,0.576,0,0.424
2018,FL,14,0,1,0,0
2018,FL,15,285532,0.47,0,0.53
2018,FL,16,361946,0.454,0,0.546
2018,FL,17,310520,0.377,0,0.623
2018,FL,18,342359,0.457,0,0.543
2018,FL,19,339607,0.377,0,0.623
2018,FL,20,202824,1,0,0
2018,FL,21,0,1,0,0
2018,FL,22,297683,0.62,0,0.38
2018,FL,23,276366,0.585,0.055,0.36
2018,FL,24,0,1,0,0
2018,FL,25,212845,0.395,0,0.605
2018,FL,26,235475,0.509,0,0.491
2018,FL,27,252586,0.518,0.025,0.458
2018,GA,1,250683,0.423,0,0.577
2018,GA,2,229171,0.596,0,0.404
2018,GA,3,293006,0.345,0,0.655
2018,GA,4,288809,0.788,0,0.212
2018,GA,5,275406,1,0,0
2018,GA,6,317032,0.505,0,0.495
2018,GA,7,280453,0.499,0,0.501
2018,GA,8,198716,0,0.003,0.997
2018,GA,9,282578,0.205,0,0.795
2018,GA,10,302735,0.371,0,0.629
2018,GA,11,310540,0.382,0,0.618
2018,GA,12,250492,0.405,0,0.595
2018,GA,13,293010,0.762,0,0.238
2018,GA,14,229724,0.235,0,0.765
2018,HI,1,184211,0.731,0.038,0.231
2018,HI,2,198121,0.774,0,0.226
2018,ID,1,315069,0.308,0.065,0.628
2018,ID,2,280655,0.393,0,0.607
2018,IL,1,257885,0.735,0.067,0.198
2018,IL,2,235251,0.811,0,0.189
2018,IL,3,223334,0.73,0.011,0.259
2018,IL,4,166189,0.866,0,0.134
2018,IL,5,279131,0.767,0,0.233
2018,IL,6,315446,0.536,0,0.464
2018,IL,7,246243,0.876,0,0.124
2018,IL,8,197127,0.66,0,0.34
2018,IL,9,290351,0.735,0,0.265
2018,IL,10,238664,0.656,0,0.344
2018,IL,11,227765,0.638,0,0.362
2018,IL,12,261543,0.454,0.03,0.516
2018,IL,13,270981,0.496,0,0.504
2018,IL,14,297199,0.525,0,0.475
2018,IL,15,255608,0.291,0,0.709
2018,IL,16,255825,0.409,0,0.591
2018,IL,17,229749,0.621,0,0.379
2018,IL,18,291413,0.328,0,0.672
2018,IN,1,245209,0.651,0,0.349
2018,IN,2,228889,0.452,0,0.548
2018,IN,3,245537,0.353,0,0.647
2018,IN,4,244363,0.359,0,0.641
2018,IN,5,317177,0.432,0,0.568
2018,IN,6,241726,0.329,0.033,0.638
2018,IN,7,217829,0.648,0.001,0.351
2018,IN,8,244291,0.356,0,0.644
2018,IN,9,271361,0.435,0,0.565
2018,IA,1,334243,0.51,0.031,0.459
2018,IA,2,312913,0.548,0.026,0.426
2018,IA,3,356241,0.493,0.036,0.471
2018,IA,4,313251,0.47,0.027,0.503
2018,KS,1,224640,0.319,0,0.681
2018,KS,2,264688,0.468,0.056,0.476
2018,KS,3,318301,0.536,0.025,0.439
2018,KS,4,242693,0.406,0,0.594
2018,KY,1,251016,0.314,0,0.686
2018,KY,2,257345,0.311,0.022,0.667
2018,KY,3,278720,0.621,0.014,0.366
2018,KY,4,261812,0.346,0.032,0.622
